No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11240-x40-02.tif;796;718.491206;379.405779;27.149328;39.280849;1.176089;1.446844;0.691159;0.656843;76.000000;0.722702;108.463000;0.426591;2.158412e-01;1.196838e+00
2;F-11240-x40-02.tif;889;752.046119;291.263217;31.871138;35.688187;0.999804;1.119765;0.893044;0.888716;27.000000;0.449968;105.685000;0.378175;1.572281e-01;8.654493e-01
3;F-11240-x40-02.tif;801;809.444444;318.049938;31.154473;32.988647;0.978985;1.058874;0.944400;0.937160;21.000000;0.328799;99.268000;0.357995;1.919312e-01;1.009386e+00
4;F-11240-x40-02.tif;1311;827.020595;495.295195;35.929373;49.670765;1.346765;1.382456;0.723350;0.676567;160.000000;0.690481;148.954000;0.373757;1.607283e-01;9.379115e-01
5;F-11240-x40-02.tif;1044;849.355364;340.814176;31.892832;43.129653;1.221524;1.352331;0.739464;0.714593;92.000000;0.673196;126.592000;0.379927;2.041724e-01;9.731669e-01
6;F-11240-x40-02.tif;710;858.595775;410.687324;30.268683;36.070614;1.876347;1.191681;0.839151;0.694803;165.000000;0.543899;129.387000;0.395575;2.358597e-01;7.756656e-01
7;F-11240-x40-02.tif;757;869.194188;439.532365;27.267994;35.557883;1.027952;1.304015;0.766862;0.762315;26.000000;0.641812;98.887000;0.321310;1.424864e-01;1.224462e+00
8;F-11240-x40-02.tif;302;1305.463576;426.642384;19.185549;21.014281;1.071592;1.095318;0.912977;0.870739;18.000000;0.408012;63.771000;0.411234;2.317460e-01;8.220993e-01
9;F-11240-x40-02.tif;983;1326.164802;448.564598;31.791687;41.147963;1.353675;1.294299;0.772619;0.739208;111.000000;0.634870;129.312000;0.386630;2.053751e-01;1.627172e+00
10;F-11240-x40-02.tif;1541;1331.957820;577.923426;32.501690;64.047630;1.577398;1.970594;0.507461;0.478307;247.000000;0.861675;174.774000;0.389833;2.310896e-01;9.942059e-01
11;F-11240-x40-02.tif;302;1324.304636;420.758278;15.924212;24.841035;1.097592;1.559954;0.641045;0.623129;16.000000;0.767504;64.540000;0.475778;9.271370e-02;1.420844e+00
12;F-11240-x40-02.tif;697;1337.599713;620.091822;21.154765;43.832561;1.263660;2.071995;0.482627;0.461901;32.000000;0.875826;105.205000;0.397040;1.216268e-01;1.622963e+00
13;F-11240-x40-02.tif;862;1366.513921;577.842227;29.127723;38.436904;1.096680;1.319599;0.757806;0.742883;49.000000;0.652480;108.993000;0.354238;1.444258e-01;1.232033e+00
14;F-11240-x40-02.tif;415;1390.833735;576.898795;21.245380;25.273165;0.969079;1.189584;0.840630;0.827254;7.000000;0.541610;71.090000;0.368998;1.109324e-01;1.792037e+00
