No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11820b-x40-10.tif;362;13.350829;572.196133;13.493128;40.008089;2.047596;2.965072;0.337260;0.287954;100.000000;0.941412;96.512000;154.497238;65;239
2;M-11820b-x40-10.tif;2020;40.715842;564.301980;40.622554;66.871274;2.125561;1.646161;0.607474;0.575152;428.000000;0.794340;232.283000;125.920297;51;194
3;M-11820b-x40-10.tif;303;67.623762;126.349835;15.154264;32.034220;1.678660;2.113875;0.473065;0.375945;106.000000;0.881028;79.948000;132.702970;63;181
4;M-11820b-x40-10.tif;1018;113.124754;184.216110;31.579157;41.752886;1.114668;1.322166;0.756335;0.743507;68.000000;0.654185;119.413000;108.217092;54;188
5;M-11820b-x40-10.tif;2093;124.152891;733.976111;42.516947;69.321532;1.592683;1.630445;0.613330;0.554553;317.000000;0.789827;204.670000;87.895843;35;211
6;M-11820b-x40-10.tif;357;112.918768;378.560224;17.348875;26.475849;1.038189;1.526084;0.655272;0.648453;13.000000;0.755393;68.246000;91.072829;46;223
7;M-11820b-x40-10.tif;2635;136.350664;427.766983;41.856734;87.898435;1.982850;2.099983;0.476194;0.434239;578.000000;0.879340;256.236000;83.717268;34;204
8;M-11820b-x40-10.tif;398;138.673367;696.942211;19.004945;27.100403;1.073014;1.425966;0.701279;0.689988;24.000000;0.712887;73.257000;109.052764;58;220
9;M-11820b-x40-10.tif;3721;167.593389;310.454179;68.326331;76.768859;2.050031;1.123562;0.890027;0.803896;760.000000;0.455908;309.610000;79.122010;24;185
10;M-11820b-x40-10.tif;699;163.949928;143.831187;25.040589;37.297062;1.360842;1.489464;0.671382;0.639791;83.000000;0.741111;109.332000;109.206009;64;198
11;M-11820b-x40-10.tif;1078;175.000928;451.558442;34.039117;42.535532;1.391634;1.249607;0.800251;0.758621;96.000000;0.599665;137.302000;98.618738;47;192
12;M-11820b-x40-10.tif;3629;226.434555;37.105814;60.852466;78.011950;1.238826;1.281985;0.780040;0.759233;224.000000;0.625729;237.686000;75.618903;23;231
13;M-11820b-x40-10.tif;334;238.571856;428.700599;18.407309;23.749638;1.077880;1.290229;0.775056;0.753950;15.000000;0.631892;67.261000;96.332335;51;189
14;M-11820b-x40-10.tif;3530;304.378470;720.829745;64.082789;84.446887;1.968171;1.317778;0.758853;0.630257;905.000000;0.651262;295.477000;81.989518;18;207
15;M-11820b-x40-10.tif;1265;298.980237;643.773123;34.281014;54.323863;1.581165;1.584663;0.631049;0.545782;237.000000;0.775743;158.540000;100.753360;42;199
16;M-11820b-x40-10.tif;3026;334.149042;382.280899;51.324926;76.574556;1.336710;1.491956;0.670261;0.657068;239.000000;0.742126;225.454000;69.994712;25;234
17;M-11820b-x40-10.tif;3609;324.885287;512.426988;62.175531;76.343256;1.435223;1.227867;0.814421;0.788416;364.000000;0.580275;255.128000;58.076475;5;222
18;M-11820b-x40-10.tif;961;327.137357;97.565036;29.300413;44.274371;1.182266;1.511049;0.661792;0.624207;68.000000;0.749688;119.488000;102.488033;61;220
19;M-11820b-x40-10.tif;4054;361.496053;641.117908;71.259272;75.604453;1.528550;1.060977;0.942527;0.903024;574.000000;0.334129;279.053000;91.778984;47;193
20;M-11820b-x40-10.tif;3943;398.586356;318.785189;54.298935;104.998205;2.406895;1.933707;0.517142;0.455379;1043.000000;0.855900;345.340000;77.307380;11;239
21;M-11820b-x40-10.tif;739;356.092016;715.580514;27.448381;40.065056;1.702738;1.459651;0.685095;0.586169;132.000000;0.728453;125.748000;112.744249;70;157
22;M-11820b-x40-10.tif;315;373.653968;507.269841;15.078774;27.546911;1.196072;1.826867;0.547385;0.528536;24.000000;0.836881;68.808000;113.714286;58;238
23;M-11820b-x40-10.tif;305;378.967213;735.875410;16.078548;25.141946;1.130710;1.563695;0.639511;0.614345;22.000000;0.768782;65.831000;116.927869;90;163
24;M-11820b-x40-10.tif;1873;390.359851;568.135611;38.415213;67.004663;1.391044;1.744222;0.573321;0.531175;249.000000;0.819331;180.944000;100.366257;61;205
25;M-11820b-x40-10.tif;3868;417.273268;474.730610;65.365364;76.570104;1.216432;1.171417;0.853667;0.839998;254.000000;0.520819;243.160000;65.405119;7;213
26;M-11820b-x40-10.tif;2202;422.586285;652.777475;46.116253;62.780720;1.369908;1.361358;0.734561;0.711336;188.000000;0.678543;194.697000;107.877838;52;182
27;M-11820b-x40-10.tif;741;444.398111;265.457490;24.162489;40.676740;1.280423;1.683466;0.594012;0.570212;54.000000;0.804456;109.192000;119.337382;90;212
28;M-11820b-x40-10.tif;4722;486.891783;414.215587;71.005878;85.244999;1.104126;1.200534;0.832962;0.827367;119.000000;0.553330;255.963000;75.456798;5;201
29;M-11820b-x40-10.tif;4467;495.784643;351.629729;60.477764;99.645216;1.545320;1.647634;0.606931;0.572813;552.000000;0.794755;294.525000;68.949631;9;204
30;M-11820b-x40-10.tif;5335;497.854733;509.277601;65.313674;104.408662;1.069864;1.598573;0.625558;0.623120;59.000000;0.780178;267.816000;67.727648;2;237
31;M-11820b-x40-10.tif;346;471.494220;159.520231;16.454836;27.994461;1.124261;1.701291;0.587789;0.562137;30.000000;0.809014;69.916000;101.653179;54;190
32;M-11820b-x40-10.tif;1009;475.437066;193.059465;32.352030;40.263206;1.007132;1.244534;0.803514;0.792473;29.000000;0.595287;113.004000;93.202180;61;233
33;M-11820b-x40-10.tif;431;486.009281;277.707657;20.977637;26.523770;0.966634;1.264383;0.790900;0.780040;11.000000;0.611946;72.356000;96.851508;66;219
34;M-11820b-x40-10.tif;2010;535.528856;287.671642;31.299248;87.295573;1.991299;2.789063;0.358543;0.335832;316.000000;0.933513;224.270000;96.649254;17;197
35;M-11820b-x40-10.tif;942;518.524416;178.268577;30.736322;39.485548;1.041518;1.284654;0.778420;0.769280;32.000000;0.627744;111.036000;97.159236;54;180
36;M-11820b-x40-10.tif;897;526.486065;123.430323;27.563939;43.538233;1.314922;1.579536;0.633097;0.602505;71.000000;0.774072;121.745000;102.455964;64;203
37;M-11820b-x40-10.tif;1022;563.050881;135.011742;26.972587;52.117462;1.419668;1.932238;0.517535;0.479065;103.000000;0.855662;135.028000;110.979452;87;181
38;M-11820b-x40-10.tif;2287;591.914735;498.775689;37.917398;78.922347;1.275565;2.081428;0.480439;0.467494;136.000000;0.877028;191.465000;69.135111;7;222
39;M-11820b-x40-10.tif;2667;616.182977;175.408324;45.531330;80.017372;1.395867;1.757413;0.569018;0.530352;267.000000;0.822325;216.291000;92.910011;51;208
40;M-11820b-x40-10.tif;1648;615.406553;281.993325;39.396804;54.210132;1.152585;1.376003;0.726742;0.714013;92.000000;0.686910;154.497000;98.459951;59;204
41;M-11820b-x40-10.tif;2714;630.082903;409.509948;45.658419;76.195195;1.119502;1.668809;0.599230;0.595203;74.000000;0.800577;195.399000;80.586220;14;182
42;M-11820b-x40-10.tif;2356;654.221986;697.485569;45.791457;68.102081;1.250513;1.487222;0.672394;0.646792;206.000000;0.740193;192.414000;86.154924;40;176
43;M-11820b-x40-10.tif;3405;670.260206;454.117768;48.945142;88.753347;1.128288;1.813323;0.551474;0.550374;71.000000;0.834192;219.722000;85.691924;6;190
44;M-11820b-x40-10.tif;1727;650.306312;245.885350;39.338890;61.814419;1.894359;1.571331;0.636403;0.575470;291.000000;0.771357;202.760000;108.664157;70;206
45;M-11820b-x40-10.tif;5890;778.742954;502.890662;67.915779;112.629760;1.246527;1.658374;0.603000;0.591179;344.000000;0.797741;303.748000;64.451952;5;228
46;M-11820b-x40-10.tif;4378;786.323664;443.045683;54.700408;104.305558;1.569078;1.906852;0.524425;0.512355;443.000000;0.851457;293.809000;70.479671;3;193
47;M-11820b-x40-10.tif;3503;774.895804;54.005995;54.332224;88.667601;1.730800;1.631952;0.612763;0.567310;604.000000;0.790267;276.025000;105.184413;71;193
48;M-11820b-x40-10.tif;1876;802.690299;325.540512;45.265674;58.630613;1.680059;1.295255;0.772048;0.694855;300.000000;0.635564;199.014000;72.970682;17;176
49;M-11820b-x40-10.tif;736;803.904891;772.697011;29.115421;32.901331;1.058522;1.130031;0.884931;0.865687;37.000000;0.465721;98.945000;108.202446;89;196
50;M-11820b-x40-10.tif;3295;843.289226;618.714719;54.037421;79.268156;1.096735;1.466912;0.681704;0.667679;60.000000;0.731628;213.100000;72.530197;15;180
51;M-11820b-x40-10.tif;3553;848.079651;417.389249;59.980617;79.980711;1.619556;1.333443;0.749939;0.707188;326.000000;0.661508;268.906000;85.085561;6;195
52;M-11820b-x40-10.tif;383;852.255875;474.942559;19.818093;28.954184;1.865069;1.460997;0.684464;0.581683;81.000000;0.729047;94.744000;87.253264;3;172
53;M-11820b-x40-10.tif;5532;881.246565;548.772777;71.652187;104.376178;1.322786;1.456706;0.686480;0.646531;409.000000;0.727148;303.243000;67.707520;4;198
54;M-11820b-x40-10.tif;1153;876.813530;365.095403;33.829727;46.821411;1.553334;1.384032;0.722527;0.669654;200.000000;0.691343;150.021000;93.658283;25;173
55;M-11820b-x40-10.tif;3528;888.427154;651.399376;64.235088;70.653774;1.045872;1.099925;0.909153;0.899846;70.000000;0.416462;215.332000;77.459467;11;184
56;M-11820b-x40-10.tif;3591;905.561960;437.783626;59.947386;76.409973;1.023415;1.274617;0.784549;0.783115;72.000000;0.620067;214.901000;76.648009;2;229
57;M-11820b-x40-10.tif;1714;949.105018;377.964994;34.832377;66.307194;1.657294;1.903608;0.525318;0.496363;251.000000;0.850906;188.934000;104.109685;60;162
58;M-11820b-x40-10.tif;3283;950.788913;642.005483;61.727671;68.229951;1.088114;1.105338;0.904701;0.897906;68.000000;0.426048;211.874000;75.784039;11;217
59;M-11820b-x40-10.tif;1572;954.570611;281.706743;33.893134;66.401418;1.625872;1.959141;0.510428;0.453950;254.000000;0.859921;179.215000;91.276718;21;180
60;M-11820b-x40-10.tif;3645;972.395336;523.815638;58.285409;80.942184;1.115257;1.388721;0.720087;0.708366;120.000000;0.693884;226.017000;76.359945;14;199
61;M-11820b-x40-10.tif;2718;967.878955;417.276674;53.853060;65.224344;1.071055;1.211154;0.825659;0.813467;87.000000;0.564170;191.265000;60.291391;8;214
62;M-11820b-x40-10.tif;3576;998.614933;465.685123;58.879877;81.958998;1.278540;1.391970;0.718406;0.677820;307.000000;0.695624;239.696000;78.406320;10;217
63;M-11820b-x40-10.tif;3839;1015.265694;355.285751;47.947249;111.787480;1.844475;2.331468;0.428914;0.391149;747.000000;0.903345;298.298000;67.973691;10;235
64;M-11820b-x40-10.tif;4053;1037.874661;588.237355;56.147470;92.760161;1.163832;1.652081;0.605297;0.599741;152.000000;0.796000;243.466000;76.762151;13;187
65;M-11820b-x40-10.tif;3571;1033.171941;655.503780;57.087992;79.994891;1.042107;1.401256;0.713645;0.710519;75.000000;0.700507;216.250000;55.547186;8;204
66;M-11820b-x40-10.tif;717;1016.065551;237.677824;26.245407;35.710970;1.168877;1.360656;0.734940;0.715857;55.000000;0.678133;102.624000;110.397490;74;178
67;M-11820b-x40-10.tif;1043;1034.452541;270.627037;31.514500;45.232506;1.334576;1.435292;0.696722;0.649072;108.000000;0.717341;132.257000;109.929051;76;172
68;M-11820b-x40-10.tif;5343;1092.259031;215.650384;74.628817;110.256194;2.516313;1.477394;0.676867;0.559615;1536.000000;0.736105;411.036000;110.299832;49;214
69;M-11820b-x40-10.tif;2864;1075.383380;65.666899;51.341428;79.491152;1.865242;1.548285;0.645876;0.577093;742.000000;0.763442;259.095000;95.356145;39;212
70;M-11820b-x40-10.tif;1659;1067.575045;258.526221;34.797826;66.121374;1.502881;1.900158;0.526272;0.483140;271.000000;0.850316;177.007000;99.061483;53;203
71;M-11820b-x40-10.tif;4553;1092.736218;151.345047;74.602322;79.320362;1.146666;1.063243;0.940519;0.921379;280.000000;0.339741;256.137000;68.490226;14;194
72;M-11820b-x40-10.tif;988;1077.797571;335.676113;30.643486;44.099236;1.434164;1.439106;0.694876;0.646852;144.000000;0.719130;133.439000;108.726721;58;184
73;M-11820b-x40-10.tif;3924;1102.345311;645.080530;59.970853;84.603079;1.176418;1.410737;0.708850;0.698018;188.000000;0.705360;240.852000;92.728338;13;204
74;M-11820b-x40-10.tif;831;1112.084236;532.860409;30.173582;38.299892;1.361343;1.269319;0.787824;0.721300;88.000000;0.615900;119.231000;117.690734;70;185
75;M-11820b-x40-10.tif;961;1131.602497;48.463059;27.285346;52.595062;1.907286;1.927594;0.518782;0.442327;313.000000;0.854907;151.766000;114.658689;74;227
76;M-11820b-x40-10.tif;736;1136.667120;24.110054;26.382514;39.684214;1.430853;1.504186;0.664811;0.595049;103.000000;0.747011;115.038000;112.926630;79;192
77;M-11820b-x40-10.tif;4026;1154.036264;107.652757;58.893807;88.285403;1.182335;1.499061;0.667084;0.657667;187.000000;0.744982;244.575000;49.765524;7;224
78;M-11820b-x40-10.tif;3708;1169.842233;703.856796;59.038761;81.638231;1.563234;1.382790;0.723175;0.708374;231.000000;0.690664;269.890000;77.471953;22;208
79;M-11820b-x40-10.tif;4516;1211.131975;244.271479;54.357891;115.614129;2.268955;2.126906;0.470167;0.430172;1053.000000;0.882578;358.835000;88.009079;9;231
80;M-11820b-x40-10.tif;1721;1232.162115;549.201046;40.102789;56.345197;1.094727;1.405019;0.711734;0.690204;51.000000;0.702449;153.868000;95.427658;65;184
81;M-11820b-x40-10.tif;2702;1242.375278;363.399334;50.993658;74.357381;1.693852;1.458169;0.685791;0.622225;521.000000;0.727798;239.820000;100.934493;52;215
82;M-11820b-x40-10.tif;3489;1250.861565;459.611923;61.238405;74.099846;1.223119;1.210022;0.826431;0.809052;207.000000;0.563038;231.574000;82.630553;16;195
83;M-11820b-x40-10.tif;5030;1310.114115;347.100199;50.273597;140.824000;2.666565;2.801152;0.356996;0.322942;1353.000000;0.934106;410.549000;99.518489;18;223
84;M-11820b-x40-10.tif;2985;1293.417085;287.593635;55.102515;73.145182;1.500020;1.327438;0.753331;0.710367;455.000000;0.657642;237.206000;84.998995;19;217
85;M-11820b-x40-10.tif;912;1300.597588;602.186404;22.058760;55.961776;1.667416;2.536941;0.394175;0.370785;113.000000;0.919035;138.237000;117.646930;78;177
86;M-11820b-x40-10.tif;3301;1328.264768;466.423205;46.318969;94.486351;1.498928;2.039906;0.490219;0.470779;471.000000;0.871600;249.355000;73.539836;8;191
87;M-11820b-x40-10.tif;1052;1344.129278;416.199620;30.867303;44.635211;1.250394;1.446035;0.691546;0.672312;85.000000;0.722332;128.569000;96.176806;46;168
88;M-11820b-x40-10.tif;1352;1338.915680;647.204142;39.369999;48.785564;1.777044;1.239156;0.807001;0.723276;253.000000;0.590550;173.757000;95.177515;30;187
89;M-11820b-x40-10.tif;1470;1369.960544;444.540816;36.885304;53.119449;1.324567;1.440125;0.694384;0.663316;161.000000;0.719605;156.423000;109.523129;54;180
90;M-11820b-x40-10.tif;692;1390.276012;222.764451;25.638252;35.925785;1.232298;1.401257;0.713645;0.682659;48.000000;0.700508;103.518000;97.810694;51;206
91;M-11820b-x40-10.tif;1886;1411.415695;470.234358;42.240579;62.944668;1.612640;1.490147;0.671075;0.606086;315.000000;0.741390;195.499000;88.706787;34;190
92;M-11820b-x40-10.tif;667;1395.434783;249.067466;27.970273;31.339283;1.099735;1.120450;0.892499;0.864685;29.000000;0.451050;96.009000;100.100450;64;165
93;M-11820b-x40-10.tif;1011;1422.076162;263.770524;25.443484;55.625233;1.534143;2.186227;0.457409;0.416023;155.000000;0.889256;139.609000;105.351137;67;173
94;M-11820b-x40-10.tif;2134;1426.799438;736.284442;38.200252;78.009995;1.638368;2.042133;0.489684;0.446482;317.000000;0.871900;209.608000;104.868322;27;205
95;M-11820b-x40-10.tif;508;1438.326772;781.746063;24.382889;29.231892;1.272239;1.198869;0.834119;0.756937;76.000000;0.551584;90.120000;102.234252;65;192
96;M-11820b-x40-10.tif;2468;1453.239870;364.768233;49.955869;63.685928;1.155486;1.274844;0.784410;0.774762;140.000000;0.620243;189.304000;87.451783;42;195
97;M-11820b-x40-10.tif;584;1454.996575;188.070205;28.184950;38.527756;2.889160;1.366962;0.731549;0.500928;265.000000;0.681789;145.612000;142.106164;41;214
98;M-11820b-x40-10.tif;2541;1479.337269;672.321527;51.110590;64.065840;1.284868;1.253475;0.797782;0.788246;154.000000;0.602946;202.552000;71.176702;18;230
99;M-11820b-x40-10.tif;1396;1552.772206;328.446991;40.556168;44.999874;1.115921;1.109569;0.901251;0.877754;67.000000;0.433298;139.915000;68.659026;15;199
