No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11940-x40-10.tif;976;69.796107;391.847336;35.298380;37.973423;1.272710;1.075784;0.929555;0.861788;97.000000;0.368684;124.938000;0.321651;3.913929e-02;1.355776e+00
2;M-11940-x40-10.tif;481;79.224532;55.981289;17.797568;38.259144;1.599686;2.149684;0.465185;0.418393;79.000000;0.885214;98.332000;0.441670;2.391336e-01;7.073200e-01
3;M-11940-x40-10.tif;1198;99.828047;93.376461;34.046533;45.651050;1.092788;1.340843;0.745800;0.731923;72.000000;0.666170;128.263000;0.256611;6.189916e-02;8.792296e-01
4;M-11940-x40-10.tif;2844;130.282349;56.063291;53.103195;78.797963;1.908990;1.483865;0.673916;0.583190;616.000000;0.738808;261.199000;0.362739;1.151783e-01;1.788462e+00
5;M-11940-x40-10.tif;3740;369.555348;492.747326;66.170896;72.539048;1.039802;1.096238;0.912211;0.904978;91.000000;0.409721;221.063000;0.310675;1.086176e-01;9.822240e-01
6;M-11940-x40-10.tif;1141;476.355828;427.517967;33.687187;43.678253;1.025881;1.296584;0.771258;0.761492;33.000000;0.636523;121.282000;0.293476;1.134656e-01;1.348648e+00
7;M-11940-x40-10.tif;5618;546.291029;491.393378;81.069022;99.643068;1.528167;1.229114;0.813594;0.720440;604.000000;0.581433;328.459000;0.327888;9.716372e-02;1.255224e+00
8;M-11940-x40-10.tif;1700;550.490588;380.317059;39.699548;54.959283;1.028244;1.384381;0.722345;0.716600;32.000000;0.691533;148.210000;0.287333;1.155352e-01;8.617864e-01
9;M-11940-x40-10.tif;2729;555.984243;434.549652;54.746143;64.856894;1.117204;1.184684;0.844107;0.826041;77.000000;0.536175;195.737000;0.266646;1.147438e-01;7.446183e-01
10;M-11940-x40-10.tif;3353;578.176260;547.606621;57.315514;77.808538;1.243909;1.357548;0.736622;0.705162;229.000000;0.676304;228.937000;0.294999;1.019795e-01;8.513814e-01
11;M-11940-x40-10.tif;1505;615.615947;393.191362;35.924050;54.757606;1.198708;1.524260;0.656056;0.639084;93.000000;0.754712;150.567000;0.318431;1.054515e-01;9.198670e-01
12;M-11940-x40-10.tif;2657;638.076778;447.374859;49.606098;69.211551;1.121180;1.395223;0.716731;0.706227;87.000000;0.697349;193.481000;0.258159;1.125440e-01;8.890252e-01
13;M-11940-x40-10.tif;2154;675.551996;392.941968;46.177836;62.202119;1.360388;1.347012;0.742384;0.708835;201.000000;0.669975;191.893000;0.324343;1.302404e-01;1.107605e+00
14;M-11940-x40-10.tif;1655;690.314804;430.908157;46.599092;47.572810;1.173527;1.020896;0.979532;0.931088;130.000000;0.201288;156.225000;0.315664;8.287625e-02;9.009004e-01
15;M-11940-x40-10.tif;2138;699.273152;490.064079;49.307498;56.437421;1.240668;1.144601;0.873667;0.854641;149.000000;0.486525;182.573000;0.325310;1.098116e-01;9.977827e-01
16;M-11940-x40-10.tif;3821;729.419524;351.792201;62.603956;82.585875;1.554692;1.319180;0.758047;0.713306;501.000000;0.652200;273.222000;0.300118;1.120992e-01;8.281436e-01
17;M-11940-x40-10.tif;1979;752.261243;484.400202;49.464530;63.707625;2.790983;1.287946;0.776430;0.620831;643.000000;0.630203;263.455000;0.350843;4.185454e-02;1.346151e+00
18;M-11940-x40-10.tif;6697;815.492459;404.671345;75.893016;119.073306;1.526040;1.568963;0.637364;0.601397;709.000000;0.770563;358.367000;0.301663;9.870042e-02;1.150973e+00
19;M-11940-x40-10.tif;1403;777.301497;308.246614;39.345873;47.434679;1.148207;1.205582;0.829475;0.793918;86.000000;0.558544;142.280000;0.315765;6.336865e-02;8.740716e-01
20;M-11940-x40-10.tif;2272;832.771567;332.638644;44.586465;66.530420;1.230202;1.492166;0.670167;0.653549;170.000000;0.742211;187.412000;0.276534;1.019449e-01;7.736092e-01
21;M-11940-x40-10.tif;1036;853.729730;359.105212;35.286309;44.333724;1.501071;1.256400;0.795925;0.671122;209.000000;0.605396;139.793000;0.203186;9.241299e-02;7.079527e-01
22;M-11940-x40-10.tif;1789;857.292342;463.963108;47.147564;50.654797;1.128431;1.074388;0.930762;0.887727;79.000000;0.365625;159.275000;0.293208;6.218256e-02;1.165689e+00
