No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11940-x40-10.tif;2023;45.740979;598.247158;43.406912;77.522557;2.411936;1.785950;0.559926;0.428598;622.000000;0.828542;247.620000;95.288186;46;203
2;M-11940-x40-10.tif;1090;32.099083;653.325688;24.119804;60.159984;1.395102;2.494215;0.400928;0.383461;65.000000;0.916110;138.236000;92.700000;35;215
3;M-11940-x40-10.tif;301;20.285714;416.302326;14.516324;29.436203;1.465626;2.027800;0.493145;0.442296;49.000000;0.869947;74.456000;121.544850;44;181
4;M-11940-x40-10.tif;2887;83.960859;696.503983;46.098731;86.776678;1.690314;1.882409;0.531234;0.488147;410.000000;0.847225;247.635000;109.097333;46;215
5;M-11940-x40-10.tif;974;91.431211;508.256674;26.234569;68.664428;2.219183;2.617326;0.382069;0.263030;477.000000;0.924134;164.809000;101.870637;44;196
6;M-11940-x40-10.tif;2265;103.594702;652.358499;34.363328;87.351086;1.592373;2.541986;0.393393;0.377956;251.000000;0.919370;212.893000;81.781898;35;179
7;M-11940-x40-10.tif;644;103.173913;315.439441;23.357813;35.304742;1.016325;1.511475;0.661606;0.657855;14.000000;0.749852;90.691000;110.616460;70;206
8;M-11940-x40-10.tif;908;128.505507;537.068282;26.490814;46.101785;1.298651;1.740293;0.574616;0.543952;81.000000;0.818423;121.729000;115.427313;69;179
9;M-11940-x40-10.tif;778;280.919023;595.938303;16.497234;63.246348;1.951581;3.833755;0.260841;0.247639;107.000000;0.965382;138.130000;107.287918;65;184
10;M-11940-x40-10.tif;3013;296.740790;416.443080;47.311369;89.582843;1.623724;1.893474;0.528130;0.478035;461.000000;0.849164;247.948000;106.153336;57;225
11;M-11940-x40-10.tif;1593;290.042059;319.462021;43.296685;48.719805;1.210430;1.125255;0.888688;0.854505;106.000000;0.458513;155.662000;103.844319;70;198
12;M-11940-x40-10.tif;873;285.045819;537.860252;26.443058;44.480474;1.492651;1.682123;0.594487;0.561805;121.000000;0.804105;127.965000;115.383734;81;152
13;M-11940-x40-10.tif;667;281.080960;375.433283;22.656015;39.458582;1.387780;1.741638;0.574172;0.545448;74.000000;0.818735;107.852000;105.082459;69;148
14;M-11940-x40-10.tif;741;304.827260;271.333333;26.539170;36.387741;1.118512;1.371096;0.729344;0.712555;41.000000;0.684147;102.055000;112.847503;85;136
15;M-11940-x40-10.tif;1398;315.267525;567.891989;29.481612;63.905179;1.596971;2.167628;0.461334;0.435858;253.000000;0.887227;167.497000;105.005722;59;176
16;M-11940-x40-10.tif;6140;361.834528;500.262215;81.321347;104.859768;2.145776;1.289449;0.775525;0.710985;859.000000;0.631317;406.894000;77.552769;16;172
17;M-11940-x40-10.tif;860;334.072093;290.600000;27.065243;42.015261;1.245604;1.552370;0.644176;0.620289;68.000000;0.764877;116.023000;112.836047;83;148
18;M-11940-x40-10.tif;1498;339.367824;337.571429;30.632337;64.529085;1.395369;2.106567;0.474706;0.458048;103.000000;0.880144;162.071000;109.491989;76;198
19;M-11940-x40-10.tif;5404;399.411732;561.267209;87.386093;113.977591;2.233586;1.304299;0.766695;0.529647;2017.000000;0.642011;389.461000;115.495189;50;244
20;M-11940-x40-10.tif;757;401.426684;411.527081;29.905998;33.298371;1.095407;1.113435;0.898122;0.869281;34.000000;0.439746;102.080000;98.130779;49;172
21;M-11940-x40-10.tif;3428;463.815636;409.028296;56.076219;87.864297;1.840494;1.566873;0.638214;0.565361;772.000000;0.769859;281.574000;83.509335;16;201
22;M-11940-x40-10.tif;779;455.302953;231.558408;23.342800;43.326927;1.164662;1.856115;0.538760;0.528362;22.000000;0.842460;106.776000;113.732991;84;165
23;M-11940-x40-10.tif;5288;546.041415;487.288389;65.653155;106.486597;1.247557;1.621957;0.616539;0.593761;146.000000;0.787324;287.926000;80.315431;9;192
24;M-11940-x40-10.tif;3031;555.855823;433.080172;57.329357;68.576128;1.142318;1.196178;0.835996;0.820635;110.000000;0.548736;208.589000;63.858792;12;157
25;M-11940-x40-10.tif;5086;577.371018;543.677350;73.000648;99.741548;1.381071;1.366310;0.731898;0.650930;743.000000;0.681414;297.099000;74.478765;20;169
26;M-11940-x40-10.tif;2004;550.859780;382.561876;46.295582;55.536792;1.036144;1.199613;0.833602;0.827268;61.000000;0.552366;161.534000;72.770459;18;163
27;M-11940-x40-10.tif;1670;615.625150;393.764072;37.961078;57.255876;1.173582;1.508278;0.663008;0.648614;86.000000;0.748613;156.935000;79.677246;14;195
28;M-11940-x40-10.tif;3247;635.798583;446.307053;55.417340;76.430070;1.245453;1.379172;0.725072;0.707724;246.000000;0.688673;225.429000;62.713274;6;182
29;M-11940-x40-10.tif;2379;677.239176;392.920975;50.144923;66.580786;1.460723;1.327767;0.753144;0.683293;337.000000;0.657856;208.971000;79.188314;6;189
30;M-11940-x40-10.tif;4625;725.181838;194.710703;52.952831;133.338847;2.324516;2.518068;0.397130;0.331214;1123.000000;0.917762;367.559000;89.960649;24;213
31;M-11940-x40-10.tif;1778;690.483127;431.196288;46.941915;50.566204;1.174088;1.077208;0.928326;0.885363;122.000000;0.371768;161.965000;71.904387;3;184
32;M-11940-x40-10.tif;2651;699.821954;487.615994;50.668079;68.650403;1.197429;1.354904;0.738059;0.716199;140.000000;0.674736;199.726000;76.101848;6;193
33;M-11940-x40-10.tif;4679;729.198119;345.953195;64.246338;98.934408;1.489604;1.539923;0.649383;0.608651;451.000000;0.760461;295.949000;76.483437;6;176
34;M-11940-x40-10.tif;2774;751.622567;481.426099;55.853136;69.190252;1.954525;1.238789;0.807240;0.737780;398.000000;0.590223;261.023000;86.295963;8;196
35;M-11940-x40-10.tif;1116;760.542115;134.127240;30.099138;50.015965;1.257276;1.661708;0.601791;0.568011;73.000000;0.798654;132.786000;94.995520;46;154
36;M-11940-x40-10.tif;2724;776.132159;298.522761;58.280282;64.487148;1.304363;1.106500;0.903750;0.834009;201.000000;0.428060;211.304000;86.812408;15;164
37;M-11940-x40-10.tif;1271;762.279308;44.394178;30.718817;57.005068;1.350091;1.855705;0.538879;0.497999;160.000000;0.842383;146.845000;103.875688;39;174
38;M-11940-x40-10.tif;4143;795.780111;401.166063;56.127675;96.331955;1.271346;1.716300;0.582649;0.568440;207.000000;0.812724;257.273000;72.244026;11;200
39;M-11940-x40-10.tif;1956;827.841002;174.684049;31.256083;83.255000;1.589832;2.663642;0.375426;0.359301;248.000000;0.926852;197.681000;87.125767;26;154
40;M-11940-x40-10.tif;868;818.802995;291.805300;25.705707;47.637761;1.527359;1.853198;0.539608;0.486998;177.000000;0.841917;129.073000;110.639401;33;180
41;M-11940-x40-10.tif;2518;845.374504;413.467832;45.861432;71.096446;1.131680;1.550245;0.645059;0.634264;115.000000;0.764132;189.232000;74.762907;9;169
42;M-11940-x40-10.tif;2140;859.148598;461.772430;48.316264;64.368296;1.554432;1.332228;0.750622;0.657627;342.000000;0.660732;204.455000;73.573832;13;180
43;M-11940-x40-10.tif;883;878.343148;16.761042;27.572812;43.687332;1.311567;1.584435;0.631140;0.589060;89.000000;0.775669;120.637000;50.704417;6;225
44;M-11940-x40-10.tif;1332;906.324324;441.611862;37.695058;47.034695;1.225221;1.247768;0.801431;0.766616;85.000000;0.598087;143.207000;73.695195;13;197
45;M-11940-x40-10.tif;1583;927.220467;406.685407;41.574384;49.173561;1.056111;1.182785;0.845462;0.833542;47.000000;0.534035;144.944000;72.619078;7;176
46;M-11940-x40-10.tif;1075;965.739535;316.450233;33.733527;41.026503;1.132973;1.216194;0.822237;0.813185;47.000000;0.569145;123.714000;94.600000;54;170
47;M-11940-x40-10.tif;2694;1011.827394;336.780624;42.618205;82.829030;1.437043;1.943513;0.514532;0.499968;262.000000;0.857471;220.566000;71.831849;11;189
48;M-11940-x40-10.tif;1844;995.253796;256.114425;39.907723;71.632542;2.293264;1.794954;0.557117;0.457562;514.000000;0.830434;230.522000;116.087852;62;187
49;M-11940-x40-10.tif;2036;1069.801572;196.333006;44.207419;65.794061;1.745394;1.488304;0.671906;0.598845;288.000000;0.740637;211.320000;95.818762;39;188
50;M-11940-x40-10.tif;628;1079.100318;405.420382;25.617796;31.769757;1.101770;1.240144;0.806358;0.792213;41.000000;0.591428;93.246000;117.238854;71;174
51;M-11940-x40-10.tif;859;1098.470314;432.431898;29.127004;38.162302;1.134493;1.310203;0.763240;0.750990;51.000000;0.646115;110.663000;108.436554;69;167
52;M-11940-x40-10.tif;1945;1130.026735;248.892545;38.280689;66.548258;1.348642;1.738429;0.575232;0.559186;166.000000;0.817990;181.557000;84.558355;43;168
53;M-11940-x40-10.tif;5955;1156.564232;333.794458;84.135425;100.724996;1.546396;1.197177;0.835298;0.747339;792.000000;0.549797;340.178000;116.084131;25;242
54;M-11940-x40-10.tif;1036;1151.241313;448.288610;33.623511;39.568044;1.000933;1.176797;0.849764;0.842521;27.000000;0.527163;114.153000;106.703668;66;205
55;M-11940-x40-10.tif;1269;1199.107171;745.417652;24.491544;68.422375;1.486372;2.793714;0.357946;0.345124;122.000000;0.933742;153.957000;106.153664;75;164
56;M-11940-x40-10.tif;1570;1213.150955;315.770064;32.412726;73.682275;1.853601;2.273251;0.439899;0.368200;413.000000;0.898047;191.233000;95.777070;50;193
57;M-11940-x40-10.tif;1943;1220.721050;144.452393;38.029233;74.133892;1.814787;1.949392;0.512980;0.450142;372.000000;0.858400;210.501000;100.595471;67;206
58;M-11940-x40-10.tif;1781;1236.050533;363.663111;43.592187;57.368799;1.819136;1.316034;0.759859;0.689005;233.000000;0.650088;201.776000;94.093206;45;169
59;M-11940-x40-10.tif;584;1252.445205;670.404110;21.972237;35.793459;1.193206;1.629031;0.613862;0.580384;34.000000;0.789414;93.577000;119.970890;104;179
60;M-11940-x40-10.tif;1164;1259.366838;717.456186;28.874785;53.150837;1.281692;1.840735;0.543261;0.524618;86.000000;0.839564;136.922000;87.903780;33;179
61;M-11940-x40-10.tif;1143;1282.949256;145.951006;21.827531;72.798628;1.954930;3.335175;0.299834;0.274606;150.000000;0.953991;167.569000;105.062117;60;168
62;M-11940-x40-10.tif;655;1276.693130;686.314504;27.191517;31.355879;1.061435;1.153149;0.867190;0.848230;41.000000;0.497977;93.470000;106.993893;61;234
63;M-11940-x40-10.tif;1935;1301.132300;770.777261;39.526397;68.927411;1.552711;1.743832;0.573450;0.518570;341.000000;0.819241;194.308000;103.891473;54;198
64;M-11940-x40-10.tif;3723;1324.840451;494.167875;59.635243;87.658281;1.634594;1.469907;0.680315;0.616904;567.000000;0.732920;276.539000;96.544991;38;233
65;M-11940-x40-10.tif;1327;1346.443105;547.821402;32.001907;54.901616;1.258688;1.715573;0.582896;0.560545;94.000000;0.812547;144.877000;99.463451;40;222
66;M-11940-x40-10.tif;1259;1350.069102;338.246227;30.839696;55.155304;1.333034;1.788452;0.559143;0.526940;90.000000;0.829071;145.224000;99.622716;51;162
67;M-11940-x40-10.tif;1465;1377.077133;468.222526;34.541069;56.994966;1.389335;1.650064;0.606037;0.574215;156.000000;0.795436;159.929000;118.615017;51;177
68;M-11940-x40-10.tif;3059;1411.319712;228.762014;53.954157;75.437651;1.477626;1.398181;0.715215;0.684405;372.000000;0.698904;238.329000;94.213468;44;185
69;M-11940-x40-10.tif;1169;1389.634731;156.888794;32.382211;47.250712;1.160102;1.459156;0.685327;0.666665;77.000000;0.728235;130.545000;103.952951;54;175
