No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11811a-x40-03.tif;782;23.028133;653.062660;24.991468;42.614699;1.363383;1.705170;0.586452;0.548274;93.000000;0.809984;115.749000;0.443785;2.527848e-01;1.215130e+00
2;M-11811a-x40-03.tif;698;33.991404;485.194842;22.706060;41.952969;1.457364;1.847655;0.541227;0.504940;75.000000;0.840877;113.062000;0.464621;3.414317e-01;7.139578e-01
3;M-11811a-x40-03.tif;331;30.178248;408.885196;19.302525;22.134316;0.993500;1.146706;0.872063;0.860213;14.000000;0.489393;64.284000;0.475199;3.990215e-01;7.480975e-01
4;M-11811a-x40-03.tif;336;52.008929;410.782738;19.293537;22.504033;1.048143;1.166403;0.857337;0.844751;20.000000;0.514756;66.525000;0.451547;3.422692e-01;8.406847e-01
5;M-11811a-x40-03.tif;1692;68.350473;442.265366;43.834494;50.379208;1.215172;1.149305;0.870091;0.848805;117.000000;0.492891;160.740000;0.384748;1.832358e-01;1.062444e+00
6;M-11811a-x40-03.tif;594;70.292929;353.749158;26.946700;28.209069;0.958179;1.046847;0.955250;0.950428;17.000000;0.295801;84.571000;0.408099;2.487718e-01;8.011030e-01
7;M-11811a-x40-03.tif;1318;82.955994;325.981791;33.518177;53.036591;1.221982;1.582323;0.631982;0.596588;145.000000;0.774983;142.264000;0.380590;2.102170e-01;8.384316e-01
8;M-11811a-x40-03.tif;837;86.408602;406.796894;25.214474;44.569686;1.356667;1.767623;0.565731;0.536484;96.000000;0.824590;119.455000;0.452885;2.248491e-01;1.114285e+00
9;M-11811a-x40-03.tif;714;158.687675;525.270308;28.671766;31.998705;1.001126;1.116035;0.896029;0.887858;19.000000;0.443996;94.776000;0.430749;2.397991e-01;1.129934e+00
10;M-11811a-x40-03.tif;2946;284.360489;516.011202;59.511771;64.321254;1.267519;1.080816;0.925227;0.906638;219.000000;0.379414;216.620000;0.423238;1.989510e-01;6.243276e-01
11;M-11811a-x40-03.tif;651;313.682028;442.339478;28.476402;30.154110;1.072486;1.058916;0.944362;0.911587;26.000000;0.328907;93.668000;0.384623;1.942942e-01;6.906658e-01
12;M-11811a-x40-03.tif;494;313.196356;45.694332;23.879980;26.456323;0.960730;1.107887;0.902619;0.898624;12.000000;0.430440;77.227000;0.446468;3.050609e-01;1.071486e+00
13;M-11811a-x40-03.tif;2486;350.888576;552.942076;46.012747;74.926336;2.082299;1.628382;0.614106;0.563822;555.000000;0.789223;255.051000;0.443068;2.901773e-01;6.756911e-01
14;M-11811a-x40-03.tif;544;329.748162;203.169118;24.157966;28.969029;0.982977;1.199150;0.833924;0.825356;16.000000;0.551879;81.974000;0.426349;3.249770e-01;8.643506e-01
15;M-11811a-x40-03.tif;1196;357.721572;37.660535;31.985617;57.597913;1.764877;1.800744;0.555326;0.459016;231.000000;0.831633;162.865000;0.411009;1.833293e-01;1.042962e+00
16;M-11811a-x40-03.tif;575;355.326957;202.320000;25.498715;28.877905;0.949414;1.132524;0.882984;0.877903;11.000000;0.469404;82.826000;0.366556;1.631896e-01;9.667147e-01
17;M-11811a-x40-03.tif;1005;381.785075;642.226866;33.821785;39.610704;1.259802;1.171159;0.853855;0.815551;73.000000;0.520511;126.136000;0.452768;3.300512e-01;6.046439e-01
18;M-11811a-x40-03.tif;924;384.643939;358.918831;33.626538;35.466050;1.063721;1.054704;0.948133;0.935312;43.000000;0.317873;111.136000;0.381109;2.202355e-01;6.081665e-01
19;M-11811a-x40-03.tif;2339;396.417272;592.937580;48.709484;66.601825;1.501843;1.367328;0.731354;0.671379;389.000000;0.681998;210.103000;0.434784;2.681726e-01;6.709993e-01
20;M-11811a-x40-03.tif;2185;397.722197;697.550114;50.729332;56.893845;1.477306;1.121518;0.891649;0.859471;238.000000;0.452728;201.403000;0.408837;2.607990e-01;6.790023e-01
21;M-11811a-x40-03.tif;2067;406.583454;536.892114;44.313079;68.137253;1.622771;1.537633;0.650350;0.566867;386.000000;0.759634;205.307000;0.390062;2.358889e-01;9.127157e-01
22;M-11811a-x40-03.tif;2525;410.569109;386.775842;43.081710;77.669901;1.537482;1.802851;0.554677;0.532925;303.000000;0.832066;220.872000;0.452841;3.332638e-01;6.416813e-01
23;M-11811a-x40-03.tif;2882;415.640180;138.286607;50.013275;76.405210;1.459006;1.527699;0.654579;0.628577;352.000000;0.755993;229.869000;0.422443;2.736868e-01;7.909326e-01
24;M-11811a-x40-03.tif;1519;417.279789;652.789993;40.607077;52.340861;1.473079;1.288959;0.775820;0.705970;230.000000;0.630955;167.686000;0.418627;2.750274e-01;6.609533e-01
25;M-11811a-x40-03.tif;4060;431.761084;450.601970;64.414704;82.895922;1.291292;1.286910;0.777055;0.752263;371.000000;0.629433;256.673000;0.400838;2.809014e-01;7.402598e-01
