No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11820b-x40-05.tif;1310;33.233588;78.305344;34.554779;53.436333;1.416436;1.546424;0.646653;0.584128;130.000000;0.762784;152.700000;0.417745;2.331622e-01;7.076096e-01
2;M-11820b-x40-05.tif;705;117.051064;143.137589;24.119877;37.956045;1.108197;1.573642;0.635469;0.623071;38.000000;0.772127;99.085000;0.416843;2.594224e-01;8.383286e-01
3;M-11820b-x40-05.tif;1503;242.996008;573.087824;35.536907;59.356305;1.664591;1.670272;0.598705;0.543170;201.000000;0.800970;177.312000;0.415621;2.305740e-01;1.025471e+00
4;M-11820b-x40-05.tif;2198;267.077343;330.212466;42.784640;69.921705;1.458582;1.634271;0.611894;0.572419;327.000000;0.790940;200.717000;0.388544;2.024928e-01;6.889987e-01
5;M-11820b-x40-05.tif;1971;353.575850;440.754947;47.294265;54.209336;1.426817;1.146214;0.872438;0.853982;132.000000;0.488725;187.989000;0.410547;2.441033e-01;9.059413e-01
6;M-11820b-x40-05.tif;3469;439.257423;568.811185;47.913451;94.907943;1.682321;1.980820;0.504841;0.490354;385.000000;0.863212;270.808000;0.362939;1.563704e-01;8.350501e-01
7;M-11820b-x40-05.tif;757;415.916777;53.655218;27.667644;34.999237;1.027432;1.264988;0.790521;0.786844;26.000000;0.612434;98.862000;0.385229;1.133875e-01;9.014973e-01
8;M-11820b-x40-05.tif;1814;429.464168;512.985667;46.239088;54.836981;1.855211;1.185944;0.843210;0.768069;383.000000;0.537584;205.646000;0.410239;2.216191e-01;1.092762e+00
9;M-11820b-x40-05.tif;1581;460.242252;312.471221;31.644971;64.914747;1.469689;2.051345;0.487485;0.477700;151.000000;0.873131;170.877000;0.436547;2.256892e-01;7.896551e-01
10;M-11820b-x40-05.tif;686;480.169096;608.462099;27.572505;32.903362;1.062116;1.193340;0.837984;0.806777;22.000000;0.545694;95.687000;0.394229;2.265417e-01;6.728726e-01
11;M-11820b-x40-05.tif;1258;515.524642;575.227345;32.063319;50.363568;1.094757;1.570753;0.636637;0.631477;44.000000;0.771163;131.554000;0.397482;2.729113e-01;6.491008e-01
12;M-11820b-x40-05.tif;2096;630.950382;576.751431;46.961402;61.116943;1.662140;1.301429;0.768386;0.714460;314.000000;0.639987;209.235000;0.414930;2.077524e-01;1.130614e+00
13;M-11820b-x40-05.tif;823;648.153098;98.789793;25.675335;46.231860;1.794152;1.800633;0.555360;0.490261;199.000000;0.831610;136.218000;0.456616;2.620153e-01;7.534448e-01
14;M-11820b-x40-05.tif;2088;681.692050;165.053161;49.849994;64.331203;1.922882;1.290496;0.774896;0.642388;510.000000;0.632089;224.619000;0.420319;1.442931e-01;6.976909e-01
15;M-11820b-x40-05.tif;2832;704.838983;113.246822;55.090297;75.066243;1.798287;1.362604;0.733889;0.639903;616.000000;0.679269;252.977000;0.375950;1.572509e-01;6.674273e-01
16;M-11820b-x40-05.tif;1137;749.823219;172.079156;28.474301;56.872135;1.572254;1.997315;0.500672;0.447581;202.000000;0.865637;149.881000;0.412707;2.482475e-01;7.284099e-01
17;M-11820b-x40-05.tif;680;781.173529;776.332353;27.946315;31.060242;0.948877;1.111425;0.899746;0.897448;13.000000;0.436415;90.046000;0.354691;9.538607e-02;8.010615e-01
18;M-11820b-x40-05.tif;2661;812.940248;524.671552;46.044531;77.296328;1.631751;1.678730;0.595688;0.567071;355.000000;0.803216;233.590000;0.409298;2.254767e-01;6.368656e-01
19;M-11820b-x40-05.tif;781;846.440461;178.478873;25.002563;41.186868;1.240344;1.647306;0.607052;0.586197;58.000000;0.794662;110.332000;0.421528;2.711414e-01;9.854450e-01
20;M-11820b-x40-05.tif;4783;888.557391;548.275559;73.773894;84.906738;1.464067;1.150905;0.868882;0.844746;445.000000;0.495020;296.644000;0.381368;1.273306e-01;7.226838e-01
21;M-11820b-x40-05.tif;1283;885.357755;726.570538;30.971757;55.521523;1.320503;1.792650;0.557833;0.529925;120.000000;0.829953;145.911000;0.380651;2.024727e-01;1.106563e+00
22;M-11820b-x40-05.tif;1457;941.589568;571.757035;38.392945;50.255365;1.331725;1.308974;0.763957;0.734522;151.000000;0.645267;156.150000;0.428769;2.430329e-01;8.224574e-01
23;M-11820b-x40-05.tif;2387;958.482614;275.688731;52.010724;60.728502;1.599545;1.167615;0.856447;0.824095;299.000000;0.516235;219.043000;0.436253;2.302244e-01;8.719778e-01
24;M-11820b-x40-05.tif;1872;1050.128205;537.943376;47.537036;55.193688;2.065708;1.161067;0.861277;0.782415;437.000000;0.508136;220.441000;0.428109;2.401310e-01;7.811503e-01
25;M-11820b-x40-05.tif;4928;1131.734375;475.878450;59.574681;111.264936;2.084143;1.867655;0.535431;0.506832;848.000000;0.844579;359.256000;0.410616;2.096304e-01;6.620990e-01
26;M-11820b-x40-05.tif;1991;1211.527373;239.616273;49.460168;56.285307;1.750767;1.137993;0.878740;0.800187;344.000000;0.477300;209.293000;0.438128;2.301410e-01;8.067577e-01
27;M-11820b-x40-05.tif;1517;1424.496374;721.977587;28.932178;70.298095;1.899927;2.429755;0.411564;0.390849;233.000000;0.911381;190.312000;0.425733;2.758941e-01;8.273998e-01
