No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11940-x40-11.tif;594;21.111111;492.380471;18.893026;42.044723;1.493510;2.225410;0.449355;0.427832;72.000000;0.893353;105.585000;0.479599;2.719236e-01;7.795597e-01
2;M-11940-x40-11.tif;867;34.190311;439.749712;26.054378;50.725878;1.645310;1.946923;0.513631;0.429013;185.000000;0.858011;133.887000;0.395492;1.332893e-01;9.189140e-01
3;M-11940-x40-11.tif;1011;72.104847;594.384768;32.337885;49.950336;2.056131;1.544638;0.647401;0.515922;322.000000;0.762150;161.624000;0.588494;2.808141e-01;1.066026e+00
4;M-11940-x40-11.tif;906;118.333333;415.613687;25.295237;47.509576;1.281600;1.878202;0.532424;0.511065;88.000000;0.846478;120.794000;0.402193;2.806619e-01;7.382098e-01
5;M-11940-x40-11.tif;595;123.756303;573.739496;24.027125;32.810331;1.230451;1.365554;0.732304;0.703730;52.000000;0.680978;95.917000;0.385150;7.559820e-02;1.098368e+00
6;M-11940-x40-11.tif;5001;182.862228;565.442911;55.030747;135.173495;2.154323;2.456327;0.407112;0.348485;1323.000000;0.913378;367.950000;0.318375;7.370238e-02;8.317209e-01
7;M-11940-x40-11.tif;1138;149.212654;766.565905;32.502449;46.574114;1.314596;1.432942;0.697865;0.667980;105.000000;0.716229;137.111000;0.451552;2.076732e-01;9.652140e-01
8;M-11940-x40-11.tif;596;176.098993;455.073826;27.704540;28.172204;1.110611;1.016880;0.983400;0.956125;34.000000;0.181452;91.203000;0.466380;3.625929e-01;6.685657e-01
9;M-11940-x40-11.tif;1857;214.823910;648.817986;46.625397;55.972909;1.376221;1.200481;0.832999;0.754686;183.000000;0.553274;179.207000;0.332579;1.390251e-01;7.362178e-01
10;M-11940-x40-11.tif;3068;254.053455;690.894720;57.423650;72.587299;1.444735;1.264066;0.791098;0.741386;437.000000;0.611690;236.008000;0.288867;8.004212e-02;8.363021e-01
11;M-11940-x40-11.tif;4915;286.015870;529.956256;59.743555;117.124164;1.865038;1.960449;0.510087;0.456185;1150.000000;0.860123;339.399000;0.289976;1.186538e-01;9.476542e-01
12;M-11940-x40-11.tif;2208;280.461051;740.960598;41.883562;73.346908;1.615361;1.751210;0.571034;0.522571;419.000000;0.820927;211.709000;0.377211;1.611176e-01;8.280344e-01
13;M-11940-x40-11.tif;2121;287.144743;792.734088;43.129372;67.770081;1.483515;1.571321;0.636407;0.587997;349.000000;0.771353;198.848000;0.383066;9.161192e-02;7.000716e-01
14;M-11940-x40-11.tif;1478;313.210419;621.251015;40.504307;50.730357;1.475208;1.252468;0.798423;0.731221;232.000000;0.602096;165.527000;0.384505;1.571985e-01;6.861212e-01
15;M-11940-x40-11.tif;1217;334.944125;690.933443;30.825308;64.031841;1.804857;2.077249;0.481406;0.377928;277.000000;0.876498;166.139000;0.367187;8.974660e-02;7.204688e-01
16;M-11940-x40-11.tif;4604;362.859687;632.725456;62.240334;106.970358;1.670541;1.718666;0.581847;0.512293;787.000000;0.813299;310.886000;0.289648;1.003932e-01;7.212886e-01
17;M-11940-x40-11.tif;2739;369.070099;769.700256;45.915622;97.884177;2.261195;2.131827;0.469081;0.363980;947.000000;0.883155;278.978000;0.383050;1.461593e-01;6.882745e-01
18;M-11940-x40-11.tif;2310;378.098268;555.062338;52.727034;59.770527;1.378943;1.133584;0.882158;0.823281;247.000000;0.470954;200.071000;0.288383;9.233569e-02;8.599819e-01
19;M-11940-x40-11.tif;2299;400.559809;677.630709;49.900527;60.309787;1.206974;1.208600;0.827403;0.804773;205.000000;0.561608;186.734000;0.303553;1.068890e-01;8.855987e-01
20;M-11940-x40-11.tif;3353;422.455711;730.237698;50.674169;105.373855;1.837181;2.079439;0.480899;0.384484;802.000000;0.876776;278.226000;0.321393;8.204598e-02;7.952300e-01
21;M-11940-x40-11.tif;772;430.856218;800.875648;25.194313;39.344609;1.059881;1.561646;0.640350;0.634975;26.000000;0.768083;101.401000;0.371109;1.257120e-01;1.133342e+00
22;M-11940-x40-11.tif;1020;440.492157;431.727451;33.069412;40.058205;1.169617;1.211337;0.825534;0.809333;57.000000;0.564352;122.441000;0.414160;2.710839e-01;9.669429e-01
23;M-11940-x40-11.tif;2166;463.048938;110.676824;41.325798;70.967525;1.562601;1.717269;0.582320;0.547582;292.000000;0.812960;206.233000;0.420766;2.432063e-01;1.229566e+00
24;M-11940-x40-11.tif;1371;466.523705;457.684172;38.119842;47.542471;1.288846;1.247184;0.801806;0.772297;122.000000;0.597584;149.013000;0.404642;2.477677e-01;7.428016e-01
25;M-11940-x40-11.tif;604;475.923841;709.009934;24.337083;32.890757;1.117710;1.351467;0.739937;0.710885;23.000000;0.672676;92.106000;0.384191;2.322557e-01;6.500887e-01
26;M-11940-x40-11.tif;1332;483.045796;766.581832;34.090569;53.347959;1.364670;1.564889;0.639023;0.595907;183.000000;0.769188;151.137000;0.368899;1.588782e-01;1.113009e+00
27;M-11940-x40-11.tif;1352;489.148669;163.106509;34.006553;53.965303;1.346707;1.586909;0.630156;0.591095;174.000000;0.776469;151.262000;0.453151;2.989625e-01;1.000103e+00
28;M-11940-x40-11.tif;380;475.821053;49.555263;17.810725;27.721155;1.112456;1.556430;0.642496;0.629609;24.000000;0.766289;72.885000;0.493241;2.549239e-01;1.171199e+00
29;M-11940-x40-11.tif;5648;526.464943;597.765404;71.820547;115.752485;2.200529;1.611690;0.620467;0.536716;1346.000000;0.784233;395.199000;0.360289;1.429861e-01;9.984972e-01
30;M-11940-x40-11.tif;656;495.935976;690.306402;25.545306;34.834448;1.201768;1.363634;0.733335;0.688329;55.000000;0.679868;99.533000;0.370101;1.616302e-01;6.270947e-01
31;M-11940-x40-11.tif;1266;516.267773;712.977883;40.175052;41.967128;1.148191;1.044607;0.957298;0.915220;66.000000;0.289103;135.154000;0.293439;1.001225e-01;6.819087e-01
